Organization Id,Organization Name,Short Name,Organization Description,Organization Summary,Organization Type,Status,Website Url,Facebook Url,Instagram Url,Twitter Url,YouTube Channel Url,Parent Organization Name
298404,Japanese Student Organization,JSO,"<p>Regardless of nationality, race, or creed, people have dreams. These dreams, and the paths we take in life may one day lead someone to Japan. Above all though, the members of the Japanese Student Organization are citizens of the earth. We work to not only improve ourselves and the community but the world as well. The Japanese Student Organization (JSO) was established by University of Oregon students to support Japanese students in their endeavors in the United States, as well as to introduce Japanese language and culture to non-Japanese students and community members interested in world cultures.</p>\r\n<p>JSO holds bi-weekly meetings throughout the school year as well as special events like our annual ""Japan Night"" culture showcase celebration that draws in over 300 guests each year! Our meetings and activities encompass a large variety of themes such as Japanese and American food and culture, language, traditions, current events, Japanese movie nights, and much more! All are welcome to join!&nbsp;</p>\r\n<p>Be sure to follow us on Instagram for additional updates and ways to get involved as well! We hope to meet you in the near future!&nbsp;</p>","The UO Japanese Student Organization holds bi-weekly meetings throughout the school year as well as special events like our annual ""Japan Night"" cultural showcase celebration! All are welcome and make sure to follow our Instagram for additional updates!",Tier 3 Student Organization,Active,,,https://www.instagram.com/uojso/?hl=en,,,ASUO Student Organizations
298405,Graduate Ecology and Evolutionary Biology Students,GrEBES,"<p>We are the organization of the graduate students in the Institute of Ecology and Evolution.</p>\r\n<p>Our mission:</p>\r\n<p>1) Enhance graduate student communication and relationships with the other graduate students, the Biology Faculty, and the GTFF.</p>\r\n<p>2) Encourage academic leadership among biology graduate students by hosting seminar speakers in ecology and evolutionary biology, subsidizing student research and travel to scientific meetings, offering workshops to advise undergraduates considering graduate degrees in the life sciences, and providing research funds for undergraduate research projects under GrEBES mentorship.</p>\r\n<p>3) Provide graduate students, post-doctoral fellows, and undergraduates with career-building advice through a series of informal workshops or seminars.</p>\r\n<p>4) Participate in community service and outreach programs outside of the UO campus.</p>","We are the organization of the graduate students in the Institute of Ecology and Evolution Our mission:1. Enhance graduate student communication and relationships with the other graduate students, the Biology Faculty and the GTFF.2. Encourage academic ...",Tier 3 Student Organization,Active,https://grebesuo.wordpress.com/,,,,,ASUO Student Organizations
298406,Muslim Student Association,MSA,"<p>The Muslim Student Association (MSA) is a community organization that serves as an inclusive and supportive space for all Muslims, and aims to both educate and advocate within the larger UO community. As a group, we are justice-oriented, and center our various communities in the work we do.</p>\r\n<p>If you have any questions, or are interested in joining our mailing list, please feel free to reach out here on Engage or through our Instagram linked below!</p>","The Muslim Student Association is a community organization that serves as an inclusive and supportive space for all Muslims, and aims to both educate and advocate within the larger UO community. We center our work around justice, compassion and community",Tier 4 Student Organization,Active,http://instagram.com/uo_msa,,https://www.instagram.com/uo_msa/,http://twitter.com/asuomsa,,ASUO Student Organizations
298407,PrePharmacy Club,PrePharm,"The University of Oregon Pre-Pharmacy Club is a campus organization devoted to providing guidance to the undergraduate interested in a future in the pharmacy field. The Pre-Pharmacy Club is an excellent and informal way to gain advice from experienced peers about classes, requirements, and the daunting pharmacy school application process.  ",The University of Oregon Pre-Pharmacy Club is a campus organization devoted to providing guidance to the undergraduate interested in a future in the pharmacy field. The Pre-Pharmacy Club is an excellent and informal way to gain advice from experienced ...,Hidden,Inactive,,http://facebook.com/groups/151917788600337/,,,,ASUO Student Organizations
298408,Journal of Environmental Law and Litigation,JELL,"<p>The Journal of Environmental Law and Litigation (JELL) has provided a national, unbiased forum for the discussion and presentation of new ideas and theories in environmental and natural resources law since 1985. JELL educates students for careers in environmental law, disseminates important information to the environmental community, and plays an integral role at the University of Oregon Law School's nationally and internationally recognized environmental law program.</p>","The Journal of Environmental Law and Litigation (JELL) has provided a national, unbiased forum for the discussion and presentation of new ideas and theories in environmental and natural resources law since 1985. JELL educates students for careers in en...",Tier 2 Student Organization,Active,,https://www.facebook.com/UOJELL,,,,ASUO Student Organizations
298410,Climate Justice League,CJL,"<p>The mission of the Climate Justice League is to empower students to organize their communities and be leaders in the climate justice movement. By using targeted campaigns, we will work together toward a safe, just and sustainable future for all.</p>\r\n<p>Our current three campaigns are Forest Defense, Fossil Free UO, and the Climate Justice Network (podcast).&nbsp;</p>","The mission of the Climate Justice League is to empower students to organize their communities and be leaders in the climate justice movement. By using targeted campaigns, we will work together toward a safe, just, and sustainable future for all.",Tier 3 Student Organization,Active,http://www.climatejusticeleague.org,,http://www.instagram.com/climatejusticeleague/,,,ASUO Student Organizations
298411,Green Business Initiative Student Association,GBISA,"<p>The Green Business Initiative Student Association (GBISA) is one of the first student organizations of its kind. Comprised of graduate students from the University of Oregon School of Law and the Lundquist College of Business, GBISA members are interested in and dedicated to the intersection of law, business, and the environment. GBISA&rsquo;s mission is to promote awareness of sustainable business practices and the legal framework and policies that support green business. GBISA&rsquo;s leading activity each year is to organize its annual Green Business Symposium at the White Stag Block in Portland, Oregon. The Symposium aims to be the premier student-organized green business conference in the Pacific Northwest. The Symposium brings together hundreds of regional and national business leaders, policymakers, legal practitioners, academics, and students to engage in discussions on how we as a society can achieve a more sustainable economy and living environment.</p>","The Green Business Initiative Student Association (GBISA) is one of the first student organizations of its kind. Comprised of graduate students from the University of Oregon School of Law and the Lundquist College of Business, GBISA members are interes...",Tier 4 Student Organization,Active,,,,,,ASUO Student Organizations
298412,Kultura Pilipinas,KP,"<p>Kultura Pilipinas (KP) is the University of Oregon&rsquo;s official Filipino American Student Alliance in association with NWFASA (Northwest Filipino American Student Alliance). KP welcomes anyone, regardless of ethnicity, who wishes to interact with the Filipino community and learn about its culture and heritage.</p>\r\n<p>Our General Meetings are every Monday 6-7pm, check our Instagram @uokulturapilipinas for the location.&nbsp;</p>",Kultura Pilipinas is a student organization that acts as a solid foundation and social forum for people of Filipino descent and for people who aim to learn about Filipino culture and heritage. ,Tier 4 Student Organization,Active,,http://facebook.com/kulturapilipinas,http://instagram.com/uokulturapilipinas/,http://twitter.com/uopinoys,,ASUO Student Organizations
298417,Pocket Playhouse,Pocket,"<p>The Pocket is a student run organization that helps students craft their artistic visions on the stage. Each quarter, the Pocket produces up to 5 shows, completely under the direction and operation of students. Many productions are original, some are new renderings of old classics, and some are obscure offerings seldom seen on stage, but they all come from the vision of directors, actors and designers just like you! The Pocket Playhouse aims to provide an arena for students to get involved in all aspects of theatre regardless of prior experience. We believe that no amount of classroom time can offer a student the opportunity to learn what hands-on experience offers by definition. Every student who desires it should have a place, a time, and an opportunity for that kind of experience. The Pocket remains an open venue for any and every student seeking the opportunity to pursue their creative vision in the Art of Theatre.</p>","The Pocket is a student run organization that helps students craft their artistic visions on the stage. Each quarter, the Pocket produces up to 5 shows, completely under the direction and operation of students. Many productions are original, some are n...",Tier 3 Student Organization,Active,,http://facebook.com/thepocketplayhouse,https://www.instagram.com/pocketplayhouse/,http://twitter.com/pocketplayhouse,,ASUO Student Organizations
298419,Mind the Gap,MtG,"<p>Mind the Gap is the University of Oregon's gender-inclusive a cappella group! We cover all kinds of music from oldies to alternative to pop. We rehearse three times a week, hold weekly Friday show at the EMU with On the Rocks and Divisi, perform at community gigs, and compete on national and international levels. We have auditions twice a year, Fall and Spring. If you like to sing and perform, come check us out!</p>",Mind the Gap is the University of Oregon's gender-inclusive a cappella group! We cover all kinds of music from oldies to alternative to pop. We rehearse three times a week to prepare us for our weekly Friday show at the EMU with On the Rocks and Divisi...,Tier 3 Student Organization,Active,http://uomtg.com,http://facebook.com/uomindthegap,https://www.instagram.com/uomindthegap/,http://twitter.com/uomindthegap,https://www.youtube.com/user/UOmindthegap,ASUO Student Organizations
